Length Units,centimeter
Node,X(cm),Y(cm),Z(cm),VX(cm/s),VY(cm/s),VZ(cm/s),(1) 속도 크기 - cm/s
1,-2.6209146e+04,-7.1696563e+04,1.3800000e+04,2.1493843e+01,9.0501819e+02,7.9016552e+00,9.0530786e+02
2,-2.3182842e+04,-7.1696563e+04,1.3800000e+04,2.7384424e+01,9.4307764e+02,7.4019094e+00,9.4350421e+02
3,-2.0156539e+04,-7.1696563e+04,1.3800000e+04,1.4619473e+01,9.5786768e+02,6.6508985e+00,9.5800232e+02
4,-1.7130234e+04,-7.1696563e+04,1.3800000e+04,5.0358658e+00,9.6345972e+02,8.6377230e+00,9.6351160e+02
5,-1.4103930e+04,-7.1696563e+04,1.3800000e+04,-1.9515232e+00,9.6846118e+02,6.2323780e+00,9.6848322e+02
6,-1.1077625e+04,-7.1696563e+04,1.3800000e+04,-5.8426023e+00,9.6617877e+02,8.7439573e-01,9.6619684e+02
7,-8.0513203e+03,-7.1696563e+04,1.3800000e+04,-1.0704523e+01,9.6791211e+02,9.6594219e+00,9.6801947e+02
8,-5.0250176e+03,-7.1696563e+04,1.3800000e+04,-1.1673973e+01,9.7017993e+02,-2.3106462e-01,9.7025024e+02
9,-1.9987129e+03,-7.1696563e+04,1.3800000e+04,-1.8507923e+01,9.5784436e+02,3.6799288e+00,9.5803021e+02
10,1.0275918e+03,-7.1696563e+04,1.3800000e+04,-1.7470482e+01,9.6981604e+02,2.5712905e+00,9.6997675e+02
11,4.0538965e+03,-7.1696563e+04,1.3800000e+04,-2.4713823e+01,9.6815533e+02,5.2774663e+00,9.6848511e+02
12,7.0802012e+03,-7.1696563e+04,1.3800000e+04,-3.7397327e+01,9.8152496e+02,1.5030649e+01,9.8235217e+02
13,1.0106506e+04,-7.1696563e+04,1.3800000e+04,-3.4420071e+01,9.8435999e+02,1.4374098e+01,9.8506647e+02
14,1.3132807e+04,-7.1696563e+04,1.3800000e+04,-5.5995926e+01,9.7725684e+02,1.3434961e+01,9.7895197e+02
15,1.6159111e+04,-7.1696563e+04,1.3800000e+04,-5.9514347e+01,9.7288904e+02,1.2279647e+01,9.7478503e+02
16,1.9185416e+04,-7.1696563e+04,1.3800000e+04,-6.7516006e+01,9.6893408e+02,1.9905308e+01,9.7148749e+02
17,2.2211721e+04,-7.1696563e+04,1.3800000e+04,-7.3714157e+01,9.6357477e+02,2.5969336e+01,9.6673914e+02
18,2.5238025e+04,-7.1696563e+04,1.3800000e+04,-6.6204910e+01,9.5907385e+02,3.2497856e+01,9.6190527e+02
19,2.8264330e+04,-7.1696563e+04,1.3800000e+04,-3.9710609e+01,9.6979578e+02,2.9380630e+01,9.7105304e+02
20,3.1290635e+04,-7.1696563e+04,1.3800000e+04,-3.4906536e+01,9.6043542e+02,2.2046900e+01,9.6132239e+02
21,3.4316938e+04,-7.1696563e+04,1.3800000e+04,-1.6486320e+01,9.6708582e+02,1.5870268e+01,9.6735657e+02
